z,A2,phi,a,b,theta,status
-1.2,8,10,8.0,6.0,30,NotYet
-1.2,8,20,8.0,6.0,30,NotYet
-1.2,8,30,8.0,6.0,30,NotYet
-1.2,8,40,8.0,6.0,30,NotYet
-1.2,8,50,8.0,6.0,30,NotYet
-1.2,8,60,8.0,6.0,30,NotYet
-1.2,10,0,8.0,6.0,30,NotYet
-1.2,10,10,8.0,6.0,30,NotYet
-1.2,10,20,8.0,6.0,30,NotYet
-1.2,10,30,8.0,6.0,30,NotYet
-1.2,10,40,8.0,6.0,30,NotYet
-1.2,10,50,8.0,6.0,30,NotYet
-1.2,10,60,8.0,6.0,30,NotYet
-1.0,-10,0,8.0,6.0,30,NotYet
-1.0,-10,10,8.0,6.0,30,NotYet
-1.0,-10,20,8.0,6.0,30,NotYet
-1.0,-10,30,8.0,6.0,30,NotYet
-1.0,-10,40,8.0,6.0,30,NotYet
-1.0,-10,50,8.0,6.0,30,NotYet
-1.0,-10,60,8.0,6.0,30,NotYet
-1.0,-8,0,8.0,6.0,30,NotYet
-1.0,-8,10,8.0,6.0,30,NotYet
-1.0,-8,20,8.0,6.0,30,NotYet
-1.0,-8,30,8.0,6.0,30,NotYet
-1.0,-8,40,8.0,6.0,30,NotYet
-1.0,-8,50,8.0,6.0,30,NotYet
-1.0,-8,60,8.0,6.0,30,NotYet
-1.0,-6,0,8.0,6.0,30,NotYet
-1.0,-6,10,8.0,6.0,30,NotYet
-1.0,-6,20,8.0,6.0,30,NotYet
-1.0,-6,30,8.0,6.0,30,NotYet
-1.0,-6,40,8.0,6.0,30,NotYet
-1.0,-6,50,8.0,6.0,30,NotYet
-1.0,-6,60,8.0,6.0,30,NotYet
-1.0,-4,0,8.0,6.0,30,NotYet
-1.0,-4,10,8.0,6.0,30,NotYet
-1.0,-4,20,8.0,6.0,30,NotYet
-1.0,-4,30,8.0,6.0,30,NotYet
-1.0,-4,40,8.0,6.0,30,NotYet
-1.0,-4,50,8.0,6.0,30,NotYet
-1.0,-4,60,8.0,6.0,30,NotYet
-1.0,-2,0,8.0,6.0,30,NotYet
-1.0,-2,10,8.0,6.0,30,NotYet
-1.0,-2,20,8.0,6.0,30,NotYet
-1.0,-2,30,8.0,6.0,30,NotYet
-1.0,-2,40,8.0,6.0,30,NotYet
-1.0,-2,50,8.0,6.0,30,NotYet
-1.0,-2,60,8.0,6.0,30,NotYet
-1.0,0,0,8.0,6.0,30,NotYet
-1.0,0,10,8.0,6.0,30,NotYet
-1.0,0,20,8.0,6.0,30,NotYet
-1.0,0,30,8.0,6.0,30,NotYet
-1.0,0,40,8.0,6.0,30,NotYet
-1.0,0,50,8.0,6.0,30,NotYet
-1.0,0,60,8.0,6.0,30,NotYet
-1.0,2,0,8.0,6.0,30,NotYet
-1.0,2,10,8.0,6.0,30,NotYet
-1.0,2,20,8.0,6.0,30,NotYet
-1.0,2,30,8.0,6.0,30,NotYet
-1.0,2,40,8.0,6.0,30,NotYet
-1.0,2,50,8.0,6.0,30,NotYet
-1.0,2,60,8.0,6.0,30,NotYet
-1.0,4,0,8.0,6.0,30,NotYet
-1.0,4,10,8.0,6.0,30,NotYet
-1.0,4,20,8.0,6.0,30,NotYet
-1.0,4,30,8.0,6.0,30,NotYet
-1.0,4,40,8.0,6.0,30,NotYet
-1.0,4,50,8.0,6.0,30,NotYet
-1.0,4,60,8.0,6.0,30,NotYet
-1.0,6,0,8.0,6.0,30,NotYet
-1.0,6,10,8.0,6.0,30,NotYet
-1.0,6,20,8.0,6.0,30,NotYet
-1.0,6,30,8.0,6.0,30,NotYet
-1.0,6,40,8.0,6.0,30,NotYet
-1.0,6,50,8.0,6.0,30,NotYet
-1.0,6,60,8.0,6.0,30,NotYet
-1.0,8,0,8.0,6.0,30,NotYet
-1.0,8,10,8.0,6.0,30,NotYet
-1.0,8,20,8.0,6.0,30,NotYet
-1.0,8,30,8.0,6.0,30,NotYet
-1.0,8,40,8.0,6.0,30,NotYet
-1.0,8,50,8.0,6.0,30,NotYet
-1.0,8,60,8.0,6.0,30,NotYet
-1.0,10,0,8.0,6.0,30,NotYet
-1.0,10,10,8.0,6.0,30,NotYet
-1.0,10,20,8.0,6.0,30,NotYet
-1.0,10,30,8.0,6.0,30,NotYet
-1.0,10,40,8.0,6.0,30,NotYet
-1.0,10,50,8.0,6.0,30,NotYet
-1.0,10,60,8.0,6.0,30,NotYet
-0.8,-10,0,8.0,6.0,30,NotYet
-0.8,-10,10,8.0,6.0,30,NotYet
-0.8,-10,20,8.0,6.0,30,NotYet
-0.8,-10,30,8.0,6.0,30,NotYet
-0.8,-10,40,8.0,6.0,30,NotYet
-0.8,-10,50,8.0,6.0,30,NotYet
-0.8,-10,60,8.0,6.0,30,NotYet
-0.8,-8,0,8.0,6.0,30,NotYet
-0.8,-8,10,8.0,6.0,30,NotYet
-0.8,-8,20,8.0,6.0,30,NotYet
-0.8,-8,30,8.0,6.0,30,NotYet
-0.8,-8,40,8.0,6.0,30,NotYet
-0.8,-8,50,8.0,6.0,30,NotYet
-0.8,-8,60,8.0,6.0,30,NotYet
-0.8,-6,0,8.0,6.0,30,NotYet
-0.8,-6,10,8.0,6.0,30,NotYet
-0.8,-6,20,8.0,6.0,30,NotYet
-0.8,-6,30,8.0,6.0,30,NotYet
-0.8,-6,40,8.0,6.0,30,NotYet
-0.8,-6,50,8.0,6.0,30,NotYet
-0.8,-6,60,8.0,6.0,30,NotYet
-0.8,-4,0,8.0,6.0,30,NotYet
-0.8,-4,10,8.0,6.0,30,NotYet
-0.8,-4,20,8.0,6.0,30,NotYet
-0.8,-4,30,8.0,6.0,30,NotYet
-0.8,-4,40,8.0,6.0,30,NotYet
-0.8,-4,50,8.0,6.0,30,NotYet
-0.8,-4,60,8.0,6.0,30,NotYet
-0.8,-2,0,8.0,6.0,30,NotYet
-0.8,-2,10,8.0,6.0,30,NotYet
-0.8,-2,20,8.0,6.0,30,NotYet
-0.8,-2,30,8.0,6.0,30,NotYet
-0.8,-2,40,8.0,6.0,30,NotYet
-0.8,-2,50,8.0,6.0,30,NotYet
-0.8,-2,60,8.0,6.0,30,NotYet
-0.8,0,0,8.0,6.0,30,NotYet
-0.8,0,10,8.0,6.0,30,NotYet
-0.8,0,20,8.0,6.0,30,NotYet
-0.8,0,30,8.0,6.0,30,NotYet
-0.8,0,40,8.0,6.0,30,NotYet
-0.8,0,50,8.0,6.0,30,NotYet
-0.8,0,60,8.0,6.0,30,NotYet
-0.8,2,0,8.0,6.0,30,NotYet
-0.8,2,10,8.0,6.0,30,NotYet
-0.8,2,20,8.0,6.0,30,NotYet
-0.8,2,30,8.0,6.0,30,NotYet
-0.8,2,40,8.0,6.0,30,NotYet
-0.8,2,50,8.0,6.0,30,NotYet
-0.8,2,60,8.0,6.0,30,NotYet
-0.8,4,0,8.0,6.0,30,NotYet
-0.8,4,10,8.0,6.0,30,NotYet
-0.8,4,20,8.0,6.0,30,NotYet
-0.8,4,30,8.0,6.0,30,NotYet
-0.8,4,40,8.0,6.0,30,NotYet
-0.8,4,50,8.0,6.0,30,NotYet
-0.8,4,60,8.0,6.0,30,NotYet
-0.8,6,0,8.0,6.0,30,NotYet
-0.8,6,10,8.0,6.0,30,NotYet
-0.8,6,20,8.0,6.0,30,NotYet
-0.8,6,30,8.0,6.0,30,NotYet
-0.8,6,40,8.0,6.0,30,NotYet
-0.8,6,50,8.0,6.0,30,NotYet
-0.8,6,60,8.0,6.0,30,NotYet
-0.8,8,0,8.0,6.0,30,NotYet
-0.8,8,10,8.0,6.0,30,NotYet
-0.8,8,20,8.0,6.0,30,NotYet
-0.8,8,30,8.0,6.0,30,NotYet
-0.8,8,40,8.0,6.0,30,NotYet
-0.8,8,50,8.0,6.0,30,NotYet
-0.8,8,60,8.0,6.0,30,NotYet
-0.8,10,0,8.0,6.0,30,NotYet
-0.8,10,10,8.0,6.0,30,NotYet
-0.8,10,20,8.0,6.0,30,NotYet
-0.8,10,30,8.0,6.0,30,NotYet
-0.8,10,40,8.0,6.0,30,NotYet
-0.8,10,50,8.0,6.0,30,NotYet
-0.8,10,60,8.0,6.0,30,NotYet
-0.6,-10,0,8.0,6.0,30,NotYet
-0.6,-10,10,8.0,6.0,30,NotYet
-0.6,-10,20,8.0,6.0,30,NotYet
-0.6,-10,30,8.0,6.0,30,NotYet
-0.6,-10,40,8.0,6.0,30,NotYet
-0.6,-10,50,8.0,6.0,30,NotYet
-0.6,-10,60,8.0,6.0,30,NotYet
-0.6,-8,0,8.0,6.0,30,NotYet
-0.6,-8,10,8.0,6.0,30,NotYet
-0.6,-8,20,8.0,6.0,30,NotYet
-0.6,-8,30,8.0,6.0,30,NotYet
-0.6,-8,40,8.0,6.0,30,NotYet
-0.6,-8,50,8.0,6.0,30,NotYet
-0.6,-8,60,8.0,6.0,30,NotYet
-0.6,-6,0,8.0,6.0,30,NotYet
-0.6,-6,10,8.0,6.0,30,NotYet
-0.6,-6,20,8.0,6.0,30,NotYet
-0.6,-6,30,8.0,6.0,30,NotYet
-0.6,-6,40,8.0,6.0,30,NotYet
-0.6,-6,50,8.0,6.0,30,NotYet
-0.6,-6,60,8.0,6.0,30,NotYet
-0.6,-4,0,8.0,6.0,30,NotYet
-0.6,-4,10,8.0,6.0,30,NotYet
-0.6,-4,20,8.0,6.0,30,NotYet
-0.6,-4,30,8.0,6.0,30,NotYet
-0.6,-4,40,8.0,6.0,30,NotYet
-0.6,-4,50,8.0,6.0,30,NotYet
-0.6,-4,60,8.0,6.0,30,NotYet
-0.6,-2,0,8.0,6.0,30,NotYet
-0.6,-2,10,8.0,6.0,30,NotYet
-0.6,-2,20,8.0,6.0,30,NotYet
-0.6,-2,30,8.0,6.0,30,NotYet
-0.6,-2,40,8.0,6.0,30,NotYet
-0.6,-2,50,8.0,6.0,30,NotYet
-0.6,-2,60,8.0,6.0,30,NotYet
-0.6,0,0,8.0,6.0,30,NotYet
-0.6,0,10,8.0,6.0,30,NotYet
-0.6,0,20,8.0,6.0,30,NotYet
-0.6,0,30,8.0,6.0,30,NotYet
-0.6,0,40,8.0,6.0,30,NotYet
-0.6,0,50,8.0,6.0,30,NotYet
-0.6,0,60,8.0,6.0,30,NotYet
-0.6,2,0,8.0,6.0,30,NotYet
-0.6,2,10,8.0,6.0,30,NotYet
-0.6,2,20,8.0,6.0,30,NotYet
-0.6,2,30,8.0,6.0,30,NotYet
-0.6,2,40,8.0,6.0,30,NotYet
-0.6,2,50,8.0,6.0,30,NotYet
-0.6,2,60,8.0,6.0,30,NotYet
-0.6,4,0,8.0,6.0,30,NotYet
-0.6,4,10,8.0,6.0,30,NotYet
-0.6,4,20,8.0,6.0,30,NotYet
-0.6,4,30,8.0,6.0,30,NotYet
-0.6,4,40,8.0,6.0,30,NotYet
-0.6,4,50,8.0,6.0,30,NotYet
-0.6,4,60,8.0,6.0,30,NotYet
-0.6,6,0,8.0,6.0,30,NotYet
-0.6,6,10,8.0,6.0,30,NotYet
-0.6,6,20,8.0,6.0,30,NotYet
-0.6,6,30,8.0,6.0,30,NotYet
-0.6,6,40,8.0,6.0,30,NotYet
-0.6,6,50,8.0,6.0,30,NotYet
-0.6,6,60,8.0,6.0,30,NotYet
-0.6,8,0,8.0,6.0,30,NotYet
-0.6,8,10,8.0,6.0,30,NotYet
-0.6,8,20,8.0,6.0,30,NotYet
-0.6,8,30,8.0,6.0,30,NotYet
-0.6,8,40,8.0,6.0,30,NotYet
-0.6,8,50,8.0,6.0,30,NotYet
-0.6,8,60,8.0,6.0,30,NotYet
-0.6,10,0,8.0,6.0,30,NotYet
-0.6,10,10,8.0,6.0,30,NotYet
-0.6,10,20,8.0,6.0,30,NotYet
-0.6,10,30,8.0,6.0,30,NotYet
-0.6,10,40,8.0,6.0,30,NotYet
-0.6,10,50,8.0,6.0,30,NotYet
-0.6,10,60,8.0,6.0,30,NotYet
-0.4,-10,0,8.0,6.0,30,NotYet
-0.4,-10,10,8.0,6.0,30,NotYet
-0.4,-10,20,8.0,6.0,30,NotYet
-0.4,-10,30,8.0,6.0,30,NotYet
-0.4,-10,40,8.0,6.0,30,NotYet
-0.4,-10,50,8.0,6.0,30,NotYet
-0.4,-10,60,8.0,6.0,30,NotYet
-0.4,-8,0,8.0,6.0,30,NotYet
-0.4,-8,10,8.0,6.0,30,NotYet
-0.4,-8,20,8.0,6.0,30,NotYet
-0.4,-8,30,8.0,6.0,30,NotYet
-0.4,-8,40,8.0,6.0,30,NotYet
-0.4,-8,50,8.0,6.0,30,NotYet
-0.4,-8,60,8.0,6.0,30,NotYet
-0.4,-6,0,8.0,6.0,30,NotYet
-0.4,-6,10,8.0,6.0,30,NotYet
-0.4,-6,20,8.0,6.0,30,NotYet
-0.4,-6,30,8.0,6.0,30,NotYet
-0.4,-6,40,8.0,6.0,30,NotYet
-0.4,-6,50,8.0,6.0,30,NotYet
-0.4,-6,60,8.0,6.0,30,NotYet
-0.4,-4,0,8.0,6.0,30,NotYet
-0.4,-4,10,8.0,6.0,30,NotYet
-0.4,-4,20,8.0,6.0,30,NotYet
-0.4,-4,30,8.0,6.0,30,NotYet
-0.4,-4,40,8.0,6.0,30,NotYet
-0.4,-4,50,8.0,6.0,30,NotYet
-0.4,-4,60,8.0,6.0,30,NotYet
-0.4,-2,0,8.0,6.0,30,NotYet
-0.4,-2,10,8.0,6.0,30,NotYet
-0.4,-2,20,8.0,6.0,30,NotYet
-0.4,-2,30,8.0,6.0,30,NotYet
-0.4,-2,40,8.0,6.0,30,NotYet
-0.4,-2,50,8.0,6.0,30,NotYet
-0.4,-2,60,8.0,6.0,30,NotYet
-0.4,0,0,8.0,6.0,30,NotYet
-0.4,0,10,8.0,6.0,30,NotYet
-0.4,0,20,8.0,6.0,30,NotYet
-0.4,0,30,8.0,6.0,30,NotYet
-0.4,0,40,8.0,6.0,30,NotYet
-0.4,0,50,8.0,6.0,30,NotYet
-0.4,0,60,8.0,6.0,30,NotYet
-0.4,2,0,8.0,6.0,30,NotYet
-0.4,2,10,8.0,6.0,30,NotYet
-0.4,2,20,8.0,6.0,30,NotYet
-0.4,2,30,8.0,6.0,30,NotYet
-0.4,2,40,8.0,6.0,30,NotYet
-0.4,2,50,8.0,6.0,30,NotYet
-0.4,2,60,8.0,6.0,30,NotYet
-0.4,4,0,8.0,6.0,30,NotYet
-0.4,4,10,8.0,6.0,30,NotYet
-0.4,4,20,8.0,6.0,30,NotYet
-0.4,4,30,8.0,6.0,30,NotYet
-0.4,4,40,8.0,6.0,30,NotYet
-0.4,4,50,8.0,6.0,30,NotYet
-0.4,4,60,8.0,6.0,30,NotYet
-0.4,6,0,8.0,6.0,30,NotYet
-0.4,6,10,8.0,6.0,30,NotYet
-0.4,6,20,8.0,6.0,30,NotYet
-0.4,6,30,8.0,6.0,30,NotYet
-0.4,6,40,8.0,6.0,30,NotYet
-0.4,6,50,8.0,6.0,30,NotYet
-0.4,6,60,8.0,6.0,30,NotYet
-0.4,8,0,8.0,6.0,30,NotYet
-0.4,8,10,8.0,6.0,30,NotYet
-0.4,8,20,8.0,6.0,30,NotYet
-0.4,8,30,8.0,6.0,30,NotYet
-0.4,8,40,8.0,6.0,30,NotYet
-0.4,8,50,8.0,6.0,30,NotYet
-0.4,8,60,8.0,6.0,30,NotYet
-0.4,10,0,8.0,6.0,30,NotYet
-0.4,10,10,8.0,6.0,30,NotYet
-0.4,10,20,8.0,6.0,30,NotYet
-0.4,10,30,8.0,6.0,30,NotYet
-0.4,10,40,8.0,6.0,30,NotYet
-0.4,10,50,8.0,6.0,30,NotYet
-0.4,10,60,8.0,6.0,30,NotYet
-0.2,-10,0,8.0,6.0,30,NotYet
-0.2,-10,10,8.0,6.0,30,NotYet
-0.2,-10,20,8.0,6.0,30,NotYet
-0.2,-10,30,8.0,6.0,30,NotYet
-0.2,-10,40,8.0,6.0,30,NotYet
-0.2,-10,50,8.0,6.0,30,NotYet
-0.2,-10,60,8.0,6.0,30,NotYet
-0.2,-8,0,8.0,6.0,30,NotYet
-0.2,-8,10,8.0,6.0,30,NotYet
-0.2,-8,20,8.0,6.0,30,NotYet
-0.2,-8,30,8.0,6.0,30,NotYet
-0.2,-8,40,8.0,6.0,30,NotYet
-0.2,-8,50,8.0,6.0,30,NotYet
-0.2,-8,60,8.0,6.0,30,NotYet
-0.2,-6,0,8.0,6.0,30,NotYet
-0.2,-6,10,8.0,6.0,30,NotYet
-0.2,-6,20,8.0,6.0,30,NotYet
-0.2,-6,30,8.0,6.0,30,NotYet
-0.2,-6,40,8.0,6.0,30,NotYet
-0.2,-6,50,8.0,6.0,30,NotYet
-0.2,-6,60,8.0,6.0,30,NotYet
-0.2,-4,0,8.0,6.0,30,NotYet
-0.2,-4,10,8.0,6.0,30,NotYet
-0.2,-4,20,8.0,6.0,30,NotYet
-0.2,-4,30,8.0,6.0,30,NotYet
-0.2,-4,40,8.0,6.0,30,NotYet
-0.2,-4,50,8.0,6.0,30,NotYet
-0.2,-4,60,8.0,6.0,30,NotYet
-0.2,-2,0,8.0,6.0,30,NotYet
-0.2,-2,10,8.0,6.0,30,NotYet
-0.2,-2,20,8.0,6.0,30,NotYet
-0.2,-2,30,8.0,6.0,30,NotYet
-0.2,-2,40,8.0,6.0,30,NotYet
-0.2,-2,50,8.0,6.0,30,NotYet
-0.2,-2,60,8.0,6.0,30,NotYet
-0.2,0,0,8.0,6.0,30,NotYet
-0.2,0,10,8.0,6.0,30,NotYet
-0.2,0,20,8.0,6.0,30,NotYet
-0.2,0,30,8.0,6.0,30,NotYet
-0.2,0,40,8.0,6.0,30,NotYet
-0.2,0,50,8.0,6.0,30,NotYet
-0.2,0,60,8.0,6.0,30,NotYet
-0.2,2,0,8.0,6.0,30,NotYet
-0.2,2,10,8.0,6.0,30,NotYet
-0.2,2,20,8.0,6.0,30,NotYet
-0.2,2,30,8.0,6.0,30,NotYet
-0.2,2,40,8.0,6.0,30,NotYet
-0.2,2,50,8.0,6.0,30,NotYet
-0.2,2,60,8.0,6.0,30,NotYet
-0.2,4,0,8.0,6.0,30,NotYet
-0.2,4,10,8.0,6.0,30,NotYet
-0.2,4,20,8.0,6.0,30,NotYet
-0.2,4,30,8.0,6.0,30,NotYet
-0.2,4,40,8.0,6.0,30,NotYet
-0.2,4,50,8.0,6.0,30,NotYet
-0.2,4,60,8.0,6.0,30,NotYet
-0.2,6,0,8.0,6.0,30,NotYet
-0.2,6,10,8.0,6.0,30,NotYet
-0.2,6,20,8.0,6.0,30,NotYet
-0.2,6,30,8.0,6.0,30,NotYet
-0.2,6,40,8.0,6.0,30,NotYet
-0.2,6,50,8.0,6.0,30,NotYet
-0.2,6,60,8.0,6.0,30,NotYet
-0.2,8,0,8.0,6.0,30,NotYet
-0.2,8,10,8.0,6.0,30,NotYet
-0.2,8,20,8.0,6.0,30,NotYet
-0.2,8,30,8.0,6.0,30,NotYet
-0.2,8,40,8.0,6.0,30,NotYet
-0.2,8,50,8.0,6.0,30,NotYet
-0.2,8,60,8.0,6.0,30,NotYet
-0.2,10,0,8.0,6.0,30,NotYet
-0.2,10,10,8.0,6.0,30,NotYet
-0.2,10,20,8.0,6.0,30,NotYet
-0.2,10,30,8.0,6.0,30,NotYet
-0.2,10,40,8.0,6.0,30,NotYet
-0.2,10,50,8.0,6.0,30,NotYet
-0.2,10,60,8.0,6.0,30,NotYet
0.0,-10,0,8.0,6.0,30,NotYet
0.0,-10,10,8.0,6.0,30,NotYet
0.0,-10,20,8.0,6.0,30,NotYet
0.0,-10,30,8.0,6.0,30,NotYet
0.0,-10,40,8.0,6.0,30,NotYet
0.0,-10,50,8.0,6.0,30,NotYet
0.0,-10,60,8.0,6.0,30,NotYet
0.0,-8,0,8.0,6.0,30,NotYet
0.0,-8,10,8.0,6.0,30,NotYet
0.0,-8,20,8.0,6.0,30,NotYet
0.0,-8,30,8.0,6.0,30,NotYet
0.0,-8,40,8.0,6.0,30,NotYet
0.0,-8,50,8.0,6.0,30,NotYet
0.0,-8,60,8.0,6.0,30,NotYet
0.0,-6,0,8.0,6.0,30,NotYet
0.0,-6,10,8.0,6.0,30,NotYet
0.0,-6,20,8.0,6.0,30,NotYet
0.0,-6,30,8.0,6.0,30,NotYet
0.0,-6,40,8.0,6.0,30,NotYet
0.0,-6,50,8.0,6.0,30,NotYet
0.0,-6,60,8.0,6.0,30,NotYet
0.0,-4,0,8.0,6.0,30,NotYet
0.0,-4,10,8.0,6.0,30,NotYet
0.0,-4,20,8.0,6.0,30,NotYet
0.0,-4,30,8.0,6.0,30,NotYet
0.0,-4,40,8.0,6.0,30,NotYet
0.0,-4,50,8.0,6.0,30,NotYet
0.0,-4,60,8.0,6.0,30,NotYet
0.0,-2,0,8.0,6.0,30,NotYet
0.0,-2,10,8.0,6.0,30,NotYet
0.0,-2,20,8.0,6.0,30,NotYet
0.0,-2,30,8.0,6.0,30,NotYet
0.0,-2,40,8.0,6.0,30,NotYet
0.0,-2,50,8.0,6.0,30,NotYet
0.0,-2,60,8.0,6.0,30,NotYet
0.0,0,0,8.0,6.0,30,NotYet
0.0,0,10,8.0,6.0,30,NotYet
0.0,0,20,8.0,6.0,30,NotYet
0.0,0,30,8.0,6.0,30,NotYet
0.0,0,40,8.0,6.0,30,NotYet
0.0,0,50,8.0,6.0,30,NotYet
0.0,0,60,8.0,6.0,30,NotYet
0.0,2,0,8.0,6.0,30,NotYet
0.0,2,10,8.0,6.0,30,NotYet
0.0,2,20,8.0,6.0,30,NotYet
0.0,2,30,8.0,6.0,30,NotYet
0.0,2,40,8.0,6.0,30,NotYet
0.0,2,50,8.0,6.0,30,NotYet
0.0,2,60,8.0,6.0,30,NotYet
0.0,4,0,8.0,6.0,30,NotYet
0.0,4,10,8.0,6.0,30,NotYet
0.0,4,20,8.0,6.0,30,NotYet
0.0,4,30,8.0,6.0,30,NotYet
0.0,4,40,8.0,6.0,30,NotYet
0.0,4,50,8.0,6.0,30,NotYet
0.0,4,60,8.0,6.0,30,NotYet
0.0,6,0,8.0,6.0,30,NotYet
0.0,6,10,8.0,6.0,30,NotYet
0.0,6,20,8.0,6.0,30,NotYet
0.0,6,30,8.0,6.0,30,NotYet
0.0,6,40,8.0,6.0,30,NotYet
0.0,6,50,8.0,6.0,30,NotYet
0.0,6,60,8.0,6.0,30,NotYet
0.0,8,0,8.0,6.0,30,NotYet
0.0,8,10,8.0,6.0,30,NotYet
0.0,8,20,8.0,6.0,30,NotYet
0.0,8,30,8.0,6.0,30,NotYet
0.0,8,40,8.0,6.0,30,NotYet
0.0,8,50,8.0,6.0,30,NotYet
0.0,8,60,8.0,6.0,30,NotYet
0.0,10,0,8.0,6.0,30,NotYet
0.0,10,10,8.0,6.0,30,NotYet
0.0,10,20,8.0,6.0,30,NotYet
0.0,10,30,8.0,6.0,30,NotYet
0.0,10,40,8.0,6.0,30,NotYet
0.0,10,50,8.0,6.0,30,NotYet
0.0,10,60,8.0,6.0,30,NotYet
0.2,-10,0,8.0,6.0,30,NotYet
0.2,-10,10,8.0,6.0,30,NotYet
0.2,-10,20,8.0,6.0,30,NotYet
0.2,-10,30,8.0,6.0,30,NotYet
0.2,-10,40,8.0,6.0,30,NotYet
0.2,-10,50,8.0,6.0,30,NotYet
0.2,-10,60,8.0,6.0,30,NotYet
0.2,-8,0,8.0,6.0,30,NotYet
0.2,-8,10,8.0,6.0,30,NotYet
0.2,-8,20,8.0,6.0,30,NotYet
0.2,-8,30,8.0,6.0,30,NotYet
0.2,-8,40,8.0,6.0,30,NotYet
0.2,-8,50,8.0,6.0,30,NotYet
0.2,-8,60,8.0,6.0,30,NotYet
0.2,-6,0,8.0,6.0,30,NotYet
0.2,-6,10,8.0,6.0,30,NotYet
0.2,-6,20,8.0,6.0,30,NotYet
0.2,-6,30,8.0,6.0,30,NotYet
0.2,-6,40,8.0,6.0,30,NotYet
0.2,-6,50,8.0,6.0,30,NotYet
0.2,-6,60,8.0,6.0,30,NotYet
0.2,-4,0,8.0,6.0,30,NotYet
0.2,-4,10,8.0,6.0,30,NotYet
0.2,-4,20,8.0,6.0,30,NotYet
0.2,-4,30,8.0,6.0,30,NotYet
0.2,-4,40,8.0,6.0,30,NotYet
0.2,-4,50,8.0,6.0,30,NotYet
0.2,-4,60,8.0,6.0,30,NotYet
0.2,-2,0,8.0,6.0,30,NotYet
0.2,-2,10,8.0,6.0,30,NotYet
0.2,-2,20,8.0,6.0,30,NotYet
0.2,-2,30,8.0,6.0,30,NotYet
0.2,-2,40,8.0,6.0,30,NotYet
0.2,-2,50,8.0,6.0,30,NotYet
0.2,-2,60,8.0,6.0,30,NotYet
0.2,0,0,8.0,6.0,30,NotYet
0.2,0,10,8.0,6.0,30,NotYet
0.2,0,20,8.0,6.0,30,NotYet
0.2,0,30,8.0,6.0,30,NotYet
0.2,0,40,8.0,6.0,30,NotYet
0.2,0,50,8.0,6.0,30,NotYet
0.2,0,60,8.0,6.0,30,NotYet
0.2,2,0,8.0,6.0,30,NotYet
0.2,2,10,8.0,6.0,30,NotYet
0.2,2,20,8.0,6.0,30,NotYet
0.2,2,30,8.0,6.0,30,NotYet
0.2,2,40,8.0,6.0,30,NotYet
0.2,2,50,8.0,6.0,30,NotYet
0.2,2,60,8.0,6.0,30,NotYet
0.2,4,0,8.0,6.0,30,NotYet
0.2,4,10,8.0,6.0,30,NotYet
0.2,4,20,8.0,6.0,30,NotYet
0.2,4,30,8.0,6.0,30,NotYet
0.2,4,40,8.0,6.0,30,NotYet
0.2,4,50,8.0,6.0,30,NotYet
0.2,4,60,8.0,6.0,30,NotYet
0.2,6,0,8.0,6.0,30,NotYet
0.2,6,10,8.0,6.0,30,NotYet
0.2,6,20,8.0,6.0,30,NotYet
0.2,6,30,8.0,6.0,30,NotYet
0.2,6,40,8.0,6.0,30,NotYet
0.2,6,50,8.0,6.0,30,NotYet
0.2,6,60,8.0,6.0,30,NotYet
0.2,8,0,8.0,6.0,30,NotYet
0.2,8,10,8.0,6.0,30,NotYet
0.2,8,20,8.0,6.0,30,NotYet
0.2,8,30,8.0,6.0,30,NotYet
0.2,8,40,8.0,6.0,30,NotYet
0.2,8,50,8.0,6.0,30,NotYet
0.2,8,60,8.0,6.0,30,NotYet
0.2,10,0,8.0,6.0,30,NotYet
0.2,10,10,8.0,6.0,30,NotYet
0.2,10,20,8.0,6.0,30,NotYet
0.2,10,30,8.0,6.0,30,NotYet
0.2,10,40,8.0,6.0,30,NotYet
0.2,10,50,8.0,6.0,30,NotYet
0.2,10,60,8.0,6.0,30,NotYet
0.4,-10,0,8.0,6.0,30,NotYet
0.4,-10,10,8.0,6.0,30,NotYet
0.4,-10,20,8.0,6.0,30,NotYet
0.4,-10,30,8.0,6.0,30,NotYet
0.4,-10,40,8.0,6.0,30,NotYet
0.4,-10,50,8.0,6.0,30,NotYet
0.4,-10,60,8.0,6.0,30,NotYet
0.4,-8,0,8.0,6.0,30,NotYet
0.4,-8,10,8.0,6.0,30,NotYet
0.4,-8,20,8.0,6.0,30,NotYet
0.4,-8,30,8.0,6.0,30,NotYet
0.4,-8,40,8.0,6.0,30,NotYet
0.4,-8,50,8.0,6.0,30,NotYet
0.4,-8,60,8.0,6.0,30,NotYet
0.4,-6,0,8.0,6.0,30,NotYet
0.4,-6,10,8.0,6.0,30,NotYet
0.4,-6,20,8.0,6.0,30,NotYet
0.4,-6,30,8.0,6.0,30,NotYet
0.4,-6,40,8.0,6.0,30,NotYet
0.4,-6,50,8.0,6.0,30,NotYet
0.4,-6,60,8.0,6.0,30,NotYet
0.4,-4,0,8.0,6.0,30,NotYet
0.4,-4,10,8.0,6.0,30,NotYet
0.4,-4,20,8.0,6.0,30,NotYet
0.4,-4,30,8.0,6.0,30,NotYet
0.4,-4,40,8.0,6.0,30,NotYet
