theta,A2,a,b,z,E4,status
62.0,-2.0,5.9,8.0,-0.2,-7.826944780303165,NotYet
62.0,0.0,6.1,8.1,-0.2,-7.6912394677056,NotYet
62.0,2.0,6.1,8.0,-0.2,-7.581130288075656,NotYet
62.0,4.0,6.2,8.0,-0.2,-7.35693979007192,NotYet
62.0,6.0,6.3,8.1,-0.2,-7.079084637342021,NotYet
62.0,8.0,6.4,8.2,-0.2,-6.777421754901297,NotYet
62.0,10.0,6.4,8.3,-0.2,-6.41457037255168,NotYet
63.0,-10.0,6.0,8.1,-0.2,-7.342136829392984,NotYet
63.0,-8.0,5.9,8.0,-0.2,-7.610278127365746,NotYet
63.0,-6.0,5.9,8.0,-0.2,-7.796027362346649,NotYet
63.0,-4.0,5.9,7.9,-0.2,-7.907774343388155,NotYet
63.0,-2.0,6.0,7.9,-0.2,-7.925375998835079,NotYet
63.0,0.0,6.2,7.9,-0.2,-7.8529174191644415,NotYet
63.0,2.0,6.2,7.8,-0.2,-7.694508795044385,NotYet
63.0,4.0,6.3,7.9,-0.2,-7.475300726480782,NotYet
63.0,6.0,6.4,7.9,-0.2,-7.218680511810817,NotYet
63.0,8.0,6.5,8.0,-0.2,-6.935698602464981,NotYet
63.0,10.0,6.5,8.2,-0.2,-6.559092200594023,NotYet
64.0,-10.0,6.0,8.0,-0.2,-7.427911171223968,NotYet
64.0,-8.0,6.0,7.9,-0.2,-7.712436755304225,NotYet
64.0,-6.0,6.0,7.8,-0.2,-7.906155367498286,NotYet
64.0,-4.0,6.0,7.8,-0.2,-7.998311485978775,NotYet
64.0,-2.0,6.1,7.7,-0.2,-8.011213091667742,NotYet
64.0,0.0,6.3,7.8,-0.2,-7.918435737956315,NotYet
64.0,2.0,6.3,7.7,-0.2,-7.779511299333535,NotYet
64.0,4.0,6.4,7.8,-0.2,-7.572577326791361,NotYet
64.0,6.0,6.5,7.8,-0.2,-7.33111775375437,NotYet
64.0,8.0,6.6,7.9,-0.2,-7.057548493961804,NotYet
64.0,10.0,6.7,8.0,-0.2,-6.759512619464658,NotYet
65.0,-10.0,6.1,7.9,-0.2,-7.524346907855943,NotYet
65.0,-8.0,6.1,7.8,-0.2,-7.796849400619976,NotYet
65.0,-6.0,6.0,7.8,-0.2,-7.959048185613938,NotYet
65.0,-4.0,6.1,7.7,-0.2,-8.068285126355477,NotYet
65.0,-2.0,6.1,7.7,-0.2,-8.059098379919305,NotYet
65.0,0.0,6.3,7.8,-0.2,-7.920876752003096,NotYet
65.0,2.0,6.3,7.7,-0.2,-7.827214609482326,NotYet
65.0,4.0,6.4,7.7,-0.2,-7.625457594403997,NotYet
65.0,6.0,6.6,7.7,-0.2,-7.419816292007454,NotYet
65.0,8.0,6.7,7.8,-0.2,-7.159311790834181,NotYet
65.0,10.0,6.7,7.9,-0.2,-6.8340670828474686,NotYet
66.0,-10.0,6.2,7.8,-0.2,-7.602189523400739,NotYet
66.0,-8.0,6.1,7.7,-0.2,-7.8581947782076895,NotYet
66.0,-6.0,6.1,7.7,-0.2,-8.02721459674649,NotYet
66.0,-4.0,6.1,7.6,-0.2,-8.107742954976857,NotYet
66.0,-2.0,6.2,7.6,-0.2,-8.108885023044422,NotYet
66.0,0.0,6.4,7.7,-0.2,-7.962555966107175,NotYet
66.0,2.0,6.4,7.6,-0.2,-7.879925449495204,NotYet
66.0,4.0,6.5,7.6,-0.2,-7.6895389155251905,NotYet
66.0,6.0,6.6,7.6,-0.2,-7.457711621071212,NotYet
66.0,8.0,6.7,7.7,-0.2,-7.216910933610052,NotYet
66.0,10.0,6.8,7.8,-0.2,-6.9393820859258994,NotYet
67.0,-10.0,6.3,7.7,-0.2,-7.658244991791435,NotYet
67.0,-8.0,6.2,7.6,-0.2,-7.911144071957096,NotYet
67.0,-6.0,6.2,7.6,-0.2,-8.071962334914133,NotYet
67.0,-4.0,6.2,7.5,-0.2,-8.140837832470424,NotYet
67.0,-2.0,6.3,7.5,-0.2,-8.131826788885519,NotYet
67.0,0.0,6.5,7.6,-0.2,-7.982278605573811,NotYet
67.0,2.0,6.5,7.5,-0.2,-7.9049505481962115,NotYet
67.0,4.0,6.6,7.5,-0.2,-7.725018331082538,NotYet
67.0,6.0,6.7,7.5,-0.2,-7.506908405106515,NotYet
67.0,8.0,6.8,7.6,-0.2,-7.286319814622402,NotYet
67.0,10.0,6.9,7.7,-0.2,-7.0233993999427184,NotYet
68.0,-10.0,6.3,7.6,-0.2,-7.716835600673221,NotYet
68.0,-8.0,6.3,7.5,-0.2,-7.934970626723953,NotYet
68.0,-6.0,6.2,7.5,-0.2,-8.110365946777165,NotYet
68.0,-4.0,6.3,7.4,-0.2,-8.14240660739597,NotYet
68.0,-2.0,6.3,7.4,-0.2,-8.140235422877595,NotYet
68.0,0.0,6.5,7.5,-0.2,-8.028362939949147,NotYet
68.0,2.0,6.5,7.4,-0.2,-7.9148840316338465,NotYet
68.0,4.0,6.7,7.4,-0.2,-7.728639063658193,NotYet
68.0,6.0,6.8,7.4,-0.2,-7.522891084779985,NotYet
68.0,8.0,6.9,7.5,-0.2,-7.326674982788973,NotYet
68.0,10.0,6.9,7.6,-0.2,-7.073976705782116,NotYet
69.0,-10.0,6.4,7.5,-0.2,-7.731707587372512,NotYet
69.0,-8.0,6.4,7.4,-0.2,-7.925087343901396,NotYet
69.0,-6.0,6.3,7.4,-0.2,-8.109587834449485,NotYet
69.0,-4.0,6.3,7.4,-0.2,-8.18111142423004,NotYet
69.0,-2.0,6.4,7.3,-0.2,-8.11075500282459,NotYet
69.0,0.0,6.6,7.4,-0.2,-8.005691003636457,NotYet
69.0,2.0,6.6,7.3,-0.2,-7.887631272431463,NotYet
69.0,4.0,6.7,7.4,-0.2,-7.761181732057594,NotYet
69.0,6.0,6.8,7.4,-0.2,-7.570437517599203,NotYet
69.0,8.0,6.9,7.4,-0.2,-7.340204098494723,NotYet
69.0,10.0,7.0,7.5,-0.2,-7.119659433607012,NotYet
70.0,-10.0,6.5,7.4,-0.2,-7.711928472155705,NotYet
70.0,-8.0,6.4,7.4,-0.2,-7.968172180699184,NotYet
70.0,-6.0,6.4,7.3,-0.2,-8.071435226360336,NotYet
70.0,-4.0,6.4,7.3,-0.2,-8.143874980742112,NotYet
70.0,-2.0,6.4,7.3,-0.2,-8.146824277820997,NotYet
70.0,0.0,6.6,7.4,-0.2,-8.003475893405266,NotYet
70.0,2.0,6.6,7.3,-0.2,-7.923054211889394,NotYet
70.0,4.0,6.8,7.3,-0.2,-7.726555730216205,NotYet
70.0,6.0,6.9,7.3,-0.2,-7.545004537096247,NotYet
70.0,8.0,7.0,7.3,-0.2,-7.325639591435902,NotYet
70.0,10.0,7.1,7.4,-0.2,-7.132554764510132,NotYet
55.0,-10.0,5.4,9.1,0.0,-6.363641661009751,NotYet
55.0,-8.0,5.3,9.0,0.0,-6.6504702070960775,NotYet
55.0,-6.0,5.3,8.9,0.0,-6.878927772515453,NotYet
55.0,-4.0,5.4,8.8,0.0,-7.04356757143978,NotYet
55.0,-2.0,5.4,8.8,0.0,-6.9754890112672,NotYet
55.0,0.0,5.5,8.9,0.0,-6.793122055358253,NotYet
55.0,2.0,5.5,8.8,0.0,-6.529015646432526,NotYet
55.0,4.0,5.6,8.9,0.0,-6.230785243562423,NotYet
55.0,6.0,5.6,9.0,0.0,-5.80323130520992,NotYet
55.0,8.0,5.6,9.2,0.0,-5.402835999731906,NotYet
55.0,10.0,5.7,9.3,0.0,-5.167024016845971,NotYet
56.0,-10.0,5.4,9.0,0.0,-6.4416537042707205,NotYet
56.0,-8.0,5.4,8.9,0.0,-6.768442086991854,NotYet
56.0,-6.0,5.4,8.8,0.0,-7.001762855099514,NotYet
56.0,-4.0,5.4,8.7,0.0,-7.114143620827235,NotYet
56.0,-2.0,5.5,8.6,0.0,-7.15062077739276,NotYet
56.0,0.0,5.6,8.8,0.0,-6.929699606611393,NotYet
56.0,2.0,5.6,8.7,0.0,-6.716509359423071,NotYet
56.0,4.0,5.6,8.8,0.0,-6.317952657700516,NotYet
56.0,6.0,5.7,8.9,0.0,-6.008960458915681,NotYet
56.0,8.0,5.8,9.0,0.0,-5.718730808584951,NotYet
56.0,10.0,5.8,9.2,0.0,-5.347928874427453,NotYet
57.0,-10.0,5.5,8.8,0.0,-6.602892398717813,NotYet
57.0,-8.0,5.5,8.7,0.0,-6.93328268872574,NotYet
57.0,-6.0,5.5,8.6,0.0,-7.165750043350272,NotYet
57.0,-4.0,5.5,8.6,0.0,-7.248217407497577,NotYet
57.0,-2.0,5.6,8.5,0.0,-7.29887628974393,NotYet
57.0,0.0,5.7,8.6,0.0,-7.143900144961663,NotYet
57.0,2.0,5.7,8.5,0.0,-6.905527921509929,NotYet
57.0,4.0,5.8,8.6,0.0,-6.626794254756533,NotYet
57.0,6.0,5.8,8.7,0.0,-6.214093477930874,NotYet
57.0,8.0,5.9,8.9,0.0,-5.901348768733442,NotYet
57.0,10.0,5.9,9.0,0.0,-5.54643538815435,NotYet
58.0,-10.0,5.6,8.7,0.0,-6.7325610652333125,NotYet
58.0,-8.0,5.6,8.6,0.0,-7.05725356459152,NotYet
58.0,-6.0,5.6,8.5,0.0,-7.292714141774923,NotYet
58.0,-4.0,5.6,8.4,0.0,-7.410541694611311,NotYet
58.0,-2.0,5.6,8.4,0.0,-7.370079849730246,NotYet
58.0,0.0,5.8,8.5,0.0,-7.273029152769595,NotYet
58.0,2.0,5.8,8.4,0.0,-7.079831373994239,NotYet
58.0,4.0,5.8,8.5,0.0,-6.709550273488276,NotYet
58.0,6.0,5.9,8.6,0.0,-6.407366557745263,NotYet
58.0,8.0,6.0,8.7,0.0,-6.106701416545548,NotYet
58.0,10.0,6.0,8.9,0.0,-5.718937886878848,NotYet
59.0,-10.0,5.6,8.6,0.0,-6.81739414203912,NotYet
59.0,-8.0,5.6,8.5,0.0,-7.139469924615696,NotYet
59.0,-6.0,5.6,8.4,0.0,-7.36892523127608,NotYet
59.0,-4.0,5.6,8.4,0.0,-7.454906651633792,NotYet
59.0,-2.0,5.7,8.3,0.0,-7.51113154750783,NotYet
59.0,0.0,5.9,8.4,0.0,-7.391252036788501,NotYet
59.0,2.0,5.9,8.3,0.0,-7.237857217667624,NotYet
59.0,4.0,5.9,8.4,0.0,-6.887656436767429,NotYet
59.0,6.0,6.0,8.5,0.0,-6.585140140959993,NotYet
59.0,8.0,6.1,8.6,0.0,-6.279260391485877,NotYet
59.0,10.0,6.1,8.7,0.0,-5.911489330348559,NotYet
60.0,-10.0,5.7,8.5,0.0,-6.946504324674606,NotYet
60.0,-8.0,5.7,8.4,0.0,-7.262863490963355,NotYet
60.0,-6.0,5.7,8.3,0.0,-7.493849921855144,NotYet
60.0,-4.0,5.7,8.2,0.0,-7.61098721367307,NotYet
60.0,-2.0,5.8,8.2,0.0,-7.639576569199562,NotYet
60.0,0.0,5.9,8.3,0.0,-7.487687773769721,NotYet
60.0,2.0,5.9,8.2,0.0,-7.314262835076079,NotYet
60.0,4.0,6.0,8.3,0.0,-7.049591667368077,NotYet
60.0,6.0,6.1,8.3,0.0,-6.773750821594149,NotYet
60.0,8.0,6.2,8.4,0.0,-6.471146674128249,NotYet
60.0,10.0,6.2,8.6,0.0,-6.076806840253994,NotYet
61.0,-10.0,5.8,8.3,0.0,-7.105615759966895,NotYet
61.0,-8.0,5.8,8.2,0.0,-7.417582356720231,NotYet
61.0,-6.0,5.8,8.2,0.0,-7.6094749147305265,NotYet
61.0,-4.0,5.8,8.1,0.0,-7.733897597296163,NotYet
61.0,-2.0,5.8,8.1,0.0,-7.712041424005292,NotYet
61.0,0.0,6.0,8.2,0.0,-7.596108951489441,NotYet
61.0,2.0,6.0,8.1,0.0,-7.456789181451313,NotYet
61.0,4.0,6.1,8.1,0.0,-7.218724437523633,NotYet
61.0,6.0,6.2,8.2,0.0,-6.9348514637677,NotYet
61.0,8.0,6.3,8.3,0.0,-6.631488029262982,NotYet
61.0,10.0,6.4,8.4,0.0,-6.326285990769975,NotYet
62.0,-10.0,5.9,8.2,0.0,-7.229768613819033,NotYet
62.0,-8.0,5.8,8.2,0.0,-7.467977684689686,NotYet
62.0,-6.0,5.8,8.1,0.0,-7.690135050099343,NotYet
62.0,-4.0,5.9,8.0,0.0,-7.84334161656443,NotYet
62.0,-2.0,5.9,8.0,0.0,-7.826944780303165,NotYet
62.0,0.0,6.1,8.1,0.0,-7.6912394677056,NotYet
62.0,2.0,6.1,8.0,0.0,-7.581130288075656,NotYet
62.0,4.0,6.2,8.0,0.0,-7.35693979007192,NotYet
62.0,6.0,6.3,8.1,0.0,-7.079084637342021,NotYet
62.0,8.0,6.4,8.2,0.0,-6.777421754901297,NotYet
62.0,10.0,6.4,8.3,0.0,-6.41457037255168,NotYet
63.0,-10.0,6.0,8.1,0.0,-7.342136829392984,NotYet
63.0,-8.0,5.9,8.0,0.0,-7.610278127365746,NotYet
63.0,-6.0,5.9,8.0,0.0,-7.796027362346649,NotYet
63.0,-4.0,5.9,7.9,0.0,-7.907774343388155,NotYet
63.0,-2.0,6.0,7.9,0.0,-7.925375998835079,NotYet
63.0,0.0,6.2,7.9,0.0,-7.8529174191644415,NotYet
63.0,2.0,6.2,7.8,0.0,-7.694508795044385,NotYet
63.0,4.0,6.3,7.9,0.0,-7.475300726480782,NotYet
63.0,6.0,6.4,7.9,0.0,-7.218680511810817,NotYet
63.0,8.0,6.5,8.0,0.0,-6.935698602464981,NotYet
63.0,10.0,6.5,8.2,0.0,-6.559092200594023,NotYet
64.0,-10.0,6.0,8.0,0.0,-7.427911171223968,NotYet
64.0,-8.0,6.0,7.9,0.0,-7.712436755304225,NotYet
64.0,-6.0,6.0,7.8,0.0,-7.906155367498286,NotYet
64.0,-4.0,6.0,7.8,0.0,-7.998311485978775,NotYet
64.0,-2.0,6.1,7.7,0.0,-8.011213091667742,NotYet
64.0,0.0,6.3,7.8,0.0,-7.918435737956315,NotYet
64.0,2.0,6.3,7.7,0.0,-7.779511299333535,NotYet
64.0,4.0,6.4,7.8,0.0,-7.572577326791361,NotYet
64.0,6.0,6.5,7.8,0.0,-7.33111775375437,NotYet
64.0,8.0,6.6,7.9,0.0,-7.057548493961804,NotYet
64.0,10.0,6.7,8.0,0.0,-6.759512619464658,NotYet
65.0,-10.0,6.1,7.9,0.0,-7.524346907855943,NotYet
65.0,-8.0,6.1,7.8,0.0,-7.796849400619976,NotYet
65.0,-6.0,6.0,7.8,0.0,-7.959048185613938,NotYet
65.0,-4.0,6.1,7.7,0.0,-8.068285126355477,NotYet
65.0,-2.0,6.1,7.7,0.0,-8.059098379919305,NotYet
65.0,0.0,6.3,7.8,0.0,-7.920876752003096,NotYet
65.0,2.0,6.3,7.7,0.0,-7.827214609482326,NotYet
65.0,4.0,6.4,7.7,0.0,-7.625457594403997,NotYet
65.0,6.0,6.6,7.7,0.0,-7.419816292007454,NotYet
65.0,8.0,6.7,7.8,0.0,-7.159311790834181,NotYet
65.0,10.0,6.7,7.9,0.0,-6.8340670828474686,NotYet
66.0,-10.0,6.2,7.8,0.0,-7.602189523400739,NotYet
66.0,-8.0,6.1,7.7,0.0,-7.8581947782076895,NotYet
66.0,-6.0,6.1,7.7,0.0,-8.02721459674649,NotYet
66.0,-4.0,6.1,7.6,0.0,-8.107742954976857,NotYet
66.0,-2.0,6.2,7.6,0.0,-8.108885023044422,NotYet
66.0,0.0,6.4,7.7,0.0,-7.962555966107175,NotYet
66.0,2.0,6.4,7.6,0.0,-7.879925449495204,NotYet
66.0,4.0,6.5,7.6,0.0,-7.6895389155251905,NotYet
66.0,6.0,6.6,7.6,0.0,-7.457711621071212,NotYet
66.0,8.0,6.7,7.7,0.0,-7.216910933610052,NotYet
66.0,10.0,6.8,7.8,0.0,-6.9393820859258994,NotYet
67.0,-10.0,6.3,7.7,0.0,-7.658244991791435,NotYet
67.0,-8.0,6.2,7.6,0.0,-7.911144071957096,NotYet
67.0,-6.0,6.2,7.6,0.0,-8.071962334914133,NotYet
67.0,-4.0,6.2,7.5,0.0,-8.140837832470424,NotYet
67.0,-2.0,6.3,7.5,0.0,-8.131826788885519,NotYet
67.0,0.0,6.5,7.6,0.0,-7.982278605573811,NotYet
67.0,2.0,6.5,7.5,0.0,-7.9049505481962115,NotYet
67.0,4.0,6.6,7.5,0.0,-7.725018331082538,NotYet
67.0,6.0,6.7,7.5,0.0,-7.506908405106515,NotYet
67.0,8.0,6.8,7.6,0.0,-7.286319814622402,NotYet
67.0,10.0,6.9,7.7,0.0,-7.0233993999427184,NotYet
68.0,-10.0,6.3,7.6,0.0,-7.716835600673221,NotYet
68.0,-8.0,6.3,7.5,0.0,-7.934970626723953,NotYet
68.0,-6.0,6.2,7.5,0.0,-8.110365946777165,NotYet
68.0,-4.0,6.3,7.4,0.0,-8.14240660739597,NotYet
68.0,-2.0,6.3,7.4,0.0,-8.140235422877595,NotYet
68.0,0.0,6.5,7.5,0.0,-8.028362939949147,NotYet
68.0,2.0,6.5,7.4,0.0,-7.9148840316338465,NotYet
68.0,4.0,6.7,7.4,0.0,-7.728639063658193,NotYet
68.0,6.0,6.8,7.4,0.0,-7.522891084779985,NotYet
68.0,8.0,6.9,7.5,0.0,-7.326674982788973,NotYet
68.0,10.0,6.9,7.6,0.0,-7.073976705782116,NotYet
69.0,-10.0,6.4,7.5,0.0,-7.731707587372512,NotYet
69.0,-8.0,6.4,7.4,0.0,-7.925087343901396,NotYet
69.0,-6.0,6.3,7.4,0.0,-8.109587834449485,NotYet
69.0,-4.0,6.3,7.4,0.0,-8.18111142423004,NotYet
69.0,-2.0,6.4,7.3,0.0,-8.11075500282459,NotYet
69.0,0.0,6.6,7.4,0.0,-8.005691003636457,NotYet
69.0,2.0,6.6,7.3,0.0,-7.887631272431463,NotYet
69.0,4.0,6.7,7.4,0.0,-7.761181732057594,NotYet
69.0,6.0,6.8,7.4,0.0,-7.570437517599203,NotYet
69.0,8.0,6.9,7.4,0.0,-7.340204098494723,NotYet
69.0,10.0,7.0,7.5,0.0,-7.119659433607012,NotYet
70.0,-10.0,6.5,7.4,0.0,-7.711928472155705,NotYet
70.0,-8.0,6.4,7.4,0.0,-7.968172180699184,NotYet
70.0,-6.0,6.4,7.3,0.0,-8.071435226360336,NotYet
70.0,-4.0,6.4,7.3,0.0,-8.143874980742112,NotYet
70.0,-2.0,6.4,7.3,0.0,-8.146824277820997,NotYet
70.0,0.0,6.6,7.4,0.0,-8.003475893405266,NotYet
70.0,2.0,6.6,7.3,0.0,-7.923054211889394,NotYet
70.0,4.0,6.8,7.3,0.0,-7.726555730216205,NotYet
70.0,6.0,6.9,7.3,0.0,-7.545004537096247,NotYet
70.0,8.0,7.0,7.3,0.0,-7.325639591435902,NotYet
70.0,10.0,7.1,7.4,0.0,-7.132554764510132,NotYet
55.0,-10.0,5.4,9.1,0.2,-6.363641661009751,NotYet
55.0,-8.0,5.3,9.0,0.2,-6.6504702070960775,NotYet
55.0,-6.0,5.3,8.9,0.2,-6.878927772515453,NotYet
55.0,-4.0,5.4,8.8,0.2,-7.04356757143978,NotYet
55.0,-2.0,5.4,8.8,0.2,-6.9754890112672,NotYet
55.0,0.0,5.5,8.9,0.2,-6.793122055358253,NotYet
55.0,2.0,5.5,8.8,0.2,-6.529015646432526,NotYet
55.0,4.0,5.6,8.9,0.2,-6.230785243562423,NotYet
55.0,6.0,5.6,9.0,0.2,-5.80323130520992,NotYet
55.0,8.0,5.6,9.2,0.2,-5.402835999731906,NotYet
55.0,10.0,5.7,9.3,0.2,-5.167024016845971,NotYet
56.0,-10.0,5.4,9.0,0.2,-6.4416537042707205,NotYet
56.0,-8.0,5.4,8.9,0.2,-6.768442086991854,NotYet
56.0,-6.0,5.4,8.8,0.2,-7.001762855099514,NotYet
56.0,-4.0,5.4,8.7,0.2,-7.114143620827235,NotYet
56.0,-2.0,5.5,8.6,0.2,-7.15062077739276,NotYet
56.0,0.0,5.6,8.8,0.2,-6.929699606611393,NotYet
56.0,2.0,5.6,8.7,0.2,-6.716509359423071,NotYet
56.0,4.0,5.6,8.8,0.2,-6.317952657700516,NotYet
56.0,6.0,5.7,8.9,0.2,-6.008960458915681,NotYet
56.0,8.0,5.8,9.0,0.2,-5.718730808584951,NotYet
56.0,10.0,5.8,9.2,0.2,-5.347928874427453,NotYet
57.0,-10.0,5.5,8.8,0.2,-6.602892398717813,NotYet
57.0,-8.0,5.5,8.7,0.2,-6.93328268872574,NotYet
57.0,-6.0,5.5,8.6,0.2,-7.165750043350272,NotYet
57.0,-4.0,5.5,8.6,0.2,-7.248217407497577,NotYet
57.0,-2.0,5.6,8.5,0.2,-7.29887628974393,NotYet
57.0,0.0,5.7,8.6,0.2,-7.143900144961663,NotYet
57.0,2.0,5.7,8.5,0.2,-6.905527921509929,NotYet
57.0,4.0,5.8,8.6,0.2,-6.626794254756533,NotYet
57.0,6.0,5.8,8.7,0.2,-6.214093477930874,NotYet
57.0,8.0,5.9,8.9,0.2,-5.901348768733442,NotYet
57.0,10.0,5.9,9.0,0.2,-5.54643538815435,NotYet
58.0,-10.0,5.6,8.7,0.2,-6.7325610652333125,NotYet
58.0,-8.0,5.6,8.6,0.2,-7.05725356459152,NotYet
58.0,-6.0,5.6,8.5,0.2,-7.292714141774923,NotYet
58.0,-4.0,5.6,8.4,0.2,-7.410541694611311,NotYet
58.0,-2.0,5.6,8.4,0.2,-7.370079849730246,NotYet
58.0,0.0,5.8,8.5,0.2,-7.273029152769595,NotYet
58.0,2.0,5.8,8.4,0.2,-7.079831373994239,NotYet
58.0,4.0,5.8,8.5,0.2,-6.709550273488276,NotYet
58.0,6.0,5.9,8.6,0.2,-6.407366557745263,NotYet
58.0,8.0,6.0,8.7,0.2,-6.106701416545548,NotYet
58.0,10.0,6.0,8.9,0.2,-5.718937886878848,NotYet
59.0,-10.0,5.6,8.6,0.2,-6.81739414203912,NotYet
59.0,-8.0,5.6,8.5,0.2,-7.139469924615696,NotYet
59.0,-6.0,5.6,8.4,0.2,-7.36892523127608,NotYet
59.0,-4.0,5.6,8.4,0.2,-7.454906651633792,NotYet
59.0,-2.0,5.7,8.3,0.2,-7.51113154750783,NotYet
59.0,0.0,5.9,8.4,0.2,-7.391252036788501,NotYet
59.0,2.0,5.9,8.3,0.2,-7.237857217667624,NotYet
59.0,4.0,5.9,8.4,0.2,-6.887656436767429,NotYet
59.0,6.0,6.0,8.5,0.2,-6.585140140959993,NotYet
59.0,8.0,6.1,8.6,0.2,-6.279260391485877,NotYet
59.0,10.0,6.1,8.7,0.2,-5.911489330348559,NotYet
60.0,-10.0,5.7,8.5,0.2,-6.946504324674606,NotYet
60.0,-8.0,5.7,8.4,0.2,-7.262863490963355,NotYet
60.0,-6.0,5.7,8.3,0.2,-7.493849921855144,NotYet
60.0,-4.0,5.7,8.2,0.2,-7.61098721367307,NotYet
60.0,-2.0,5.8,8.2,0.2,-7.639576569199562,NotYet
60.0,0.0,5.9,8.3,0.2,-7.487687773769721,NotYet
60.0,2.0,5.9,8.2,0.2,-7.314262835076079,NotYet
60.0,4.0,6.0,8.3,0.2,-7.049591667368077,NotYet
60.0,6.0,6.1,8.3,0.2,-6.773750821594149,NotYet
60.0,8.0,6.2,8.4,0.2,-6.471146674128249,NotYet
60.0,10.0,6.2,8.6,0.2,-6.076806840253994,NotYet
61.0,-10.0,5.8,8.3,0.2,-7.105615759966895,NotYet
61.0,-8.0,5.8,8.2,0.2,-7.417582356720231,NotYet
61.0,-6.0,5.8,8.2,0.2,-7.6094749147305265,NotYet
61.0,-4.0,5.8,8.1,0.2,-7.733897597296163,NotYet
61.0,-2.0,5.8,8.1,0.2,-7.712041424005292,NotYet
61.0,0.0,6.0,8.2,0.2,-7.596108951489441,NotYet
61.0,2.0,6.0,8.1,0.2,-7.456789181451313,NotYet
61.0,4.0,6.1,8.1,0.2,-7.218724437523633,NotYet
61.0,6.0,6.2,8.2,0.2,-6.9348514637677,NotYet
61.0,8.0,6.3,8.3,0.2,-6.631488029262982,NotYet
61.0,10.0,6.4,8.4,0.2,-6.326285990769975,NotYet
62.0,-10.0,5.9,8.2,0.2,-7.229768613819033,NotYet
62.0,-8.0,5.8,8.2,0.2,-7.467977684689686,NotYet
62.0,-6.0,5.8,8.1,0.2,-7.690135050099343,NotYet
62.0,-4.0,5.9,8.0,0.2,-7.84334161656443,NotYet
62.0,-2.0,5.9,8.0,0.2,-7.826944780303165,NotYet
62.0,0.0,6.1,8.1,0.2,-7.6912394677056,NotYet
62.0,2.0,6.1,8.0,0.2,-7.581130288075656,NotYet
62.0,4.0,6.2,8.0,0.2,-7.35693979007192,NotYet
62.0,6.0,6.3,8.1,0.2,-7.079084637342021,NotYet
62.0,8.0,6.4,8.2,0.2,-6.777421754901297,NotYet
62.0,10.0,6.4,8.3,0.2,-6.41457037255168,NotYet
63.0,-10.0,6.0,8.1,0.2,-7.342136829392984,NotYet
63.0,-8.0,5.9,8.0,0.2,-7.610278127365746,NotYet
63.0,-6.0,5.9,8.0,0.2,-7.796027362346649,NotYet
63.0,-4.0,5.9,7.9,0.2,-7.907774343388155,NotYet
63.0,-2.0,6.0,7.9,0.2,-7.925375998835079,NotYet
63.0,0.0,6.2,7.9,0.2,-7.8529174191644415,NotYet
63.0,2.0,6.2,7.8,0.2,-7.694508795044385,NotYet
63.0,4.0,6.3,7.9,0.2,-7.475300726480782,NotYet
63.0,6.0,6.4,7.9,0.2,-7.218680511810817,NotYet
63.0,8.0,6.5,8.0,0.2,-6.935698602464981,NotYet
63.0,10.0,6.5,8.2,0.2,-6.559092200594023,NotYet
64.0,-10.0,6.0,8.0,0.2,-7.427911171223968,NotYet
64.0,-8.0,6.0,7.9,0.2,-7.712436755304225,NotYet
64.0,-6.0,6.0,7.8,0.2,-7.906155367498286,NotYet
64.0,-4.0,6.0,7.8,0.2,-7.998311485978775,NotYet
64.0,-2.0,6.1,7.7,0.2,-8.011213091667742,NotYet
64.0,0.0,6.3,7.8,0.2,-7.918435737956315,NotYet
64.0,2.0,6.3,7.7,0.2,-7.779511299333535,NotYet
64.0,4.0,6.4,7.8,0.2,-7.572577326791361,NotYet
64.0,6.0,6.5,7.8,0.2,-7.33111775375437,NotYet
64.0,8.0,6.6,7.9,0.2,-7.057548493961804,NotYet
64.0,10.0,6.7,8.0,0.2,-6.759512619464658,NotYet
65.0,-10.0,6.1,7.9,0.2,-7.524346907855943,NotYet
65.0,-8.0,6.1,7.8,0.2,-7.796849400619976,NotYet
65.0,-6.0,6.0,7.8,0.2,-7.959048185613938,NotYet
65.0,-4.0,6.1,7.7,0.2,-8.068285126355477,NotYet
65.0,-2.0,6.1,7.7,0.2,-8.059098379919305,NotYet
65.0,0.0,6.3,7.8,0.2,-7.920876752003096,NotYet
65.0,2.0,6.3,7.7,0.2,-7.827214609482326,NotYet
65.0,4.0,6.4,7.7,0.2,-7.625457594403997,NotYet
65.0,6.0,6.6,7.7,0.2,-7.419816292007454,NotYet
65.0,8.0,6.7,7.8,0.2,-7.159311790834181,NotYet
65.0,10.0,6.7,7.9,0.2,-6.8340670828474686,NotYet
66.0,-10.0,6.2,7.8,0.2,-7.602189523400739,NotYet
66.0,-8.0,6.1,7.7,0.2,-7.8581947782076895,NotYet
66.0,-6.0,6.1,7.7,0.2,-8.02721459674649,NotYet
66.0,-4.0,6.1,7.6,0.2,-8.107742954976857,NotYet
66.0,-2.0,6.2,7.6,0.2,-8.108885023044422,NotYet
66.0,0.0,6.4,7.7,0.2,-7.962555966107175,NotYet
66.0,2.0,6.4,7.6,0.2,-7.879925449495204,NotYet
66.0,4.0,6.5,7.6,0.2,-7.6895389155251905,NotYet
66.0,6.0,6.6,7.6,0.2,-7.457711621071212,NotYet
66.0,8.0,6.7,7.7,0.2,-7.216910933610052,NotYet
