theta,A2,z,a,b,phi,status
60.0,-2.0,-0.2,5.8,8.2,200,NotYet
60.0,-2.0,0.0,5.8,8.2,200,NotYet
60.0,-2.0,0.2,5.8,8.2,200,NotYet
60.0,-2.0,0.4,5.8,8.2,200,NotYet
60.0,-2.0,0.6,5.8,8.2,200,NotYet
60.0,-2.0,0.8,5.8,8.2,200,NotYet
60.0,-2.0,1.0,5.8,8.2,200,NotYet
60.0,0.0,-1.0,5.8,8.2,200,NotYet
60.0,0.0,-0.8,5.8,8.2,200,NotYet
60.0,0.0,-0.6,5.8,8.2,200,NotYet
60.0,0.0,-0.4,5.8,8.2,200,NotYet
60.0,0.0,-0.2,5.8,8.2,200,NotYet
60.0,0.0,0.0,5.8,8.2,200,NotYet
60.0,0.0,0.2,5.9,8.1,200,NotYet
60.0,0.0,0.4,5.9,8.1,200,NotYet
60.0,0.0,0.6,5.9,8.1,200,NotYet
60.0,0.0,0.8,5.9,8.1,200,NotYet
60.0,0.0,1.0,5.9,8.1,200,NotYet
60.0,2.0,-1.0,5.9,8.2,200,NotYet
60.0,2.0,-0.8,5.9,8.2,200,NotYet
60.0,2.0,-0.6,5.9,8.2,200,NotYet
60.0,2.0,-0.4,5.9,8.2,200,NotYet
60.0,2.0,-0.2,5.9,8.2,200,NotYet
60.0,2.0,0.0,5.9,8.2,200,NotYet
60.0,2.0,0.2,5.9,8.2,200,NotYet
60.0,2.0,0.4,5.9,8.2,200,NotYet
60.0,2.0,0.6,6.0,8.2,200,NotYet
60.0,2.0,0.8,6.0,8.2,200,NotYet
60.0,2.0,1.0,6.0,8.2,200,NotYet
60.0,4.0,-1.0,6.0,8.3,200,NotYet
60.0,4.0,-0.8,6.0,8.3,200,NotYet
60.0,4.0,-0.6,6.0,8.3,200,NotYet
60.0,4.0,-0.4,6.0,8.3,200,NotYet
60.0,4.0,-0.2,6.0,8.3,200,NotYet
60.0,4.0,0.0,6.0,8.3,200,NotYet
60.0,4.0,0.2,6.1,8.2,200,NotYet
60.0,4.0,0.4,6.1,8.2,200,NotYet
60.0,4.0,0.6,6.1,8.2,200,NotYet
60.0,4.0,0.8,6.1,8.2,200,NotYet
60.0,4.0,1.0,6.0,8.3,200,NotYet
60.0,6.0,-1.0,6.1,8.3,200,NotYet
60.0,6.0,-0.8,6.1,8.3,200,NotYet
60.0,6.0,-0.6,6.1,8.3,200,NotYet
60.0,6.0,-0.4,6.1,8.3,200,NotYet
60.0,6.0,-0.2,6.1,8.3,200,NotYet
60.0,6.0,0.0,6.1,8.3,200,NotYet
60.0,6.0,0.2,6.1,8.3,200,NotYet
60.0,6.0,0.4,6.1,8.3,200,NotYet
60.0,6.0,0.6,6.1,8.3,200,NotYet
60.0,6.0,0.8,6.1,8.3,200,NotYet
60.0,6.0,1.0,6.1,8.3,200,NotYet
60.0,8.0,-1.0,6.1,8.4,200,NotYet
60.0,8.0,-0.8,6.1,8.5,200,NotYet
60.0,8.0,-0.6,6.2,8.4,200,NotYet
60.0,8.0,-0.4,6.2,8.4,200,NotYet
60.0,8.0,-0.2,6.2,8.4,200,NotYet
60.0,8.0,0.0,6.2,8.4,200,NotYet
60.0,8.0,0.2,6.2,8.4,200,NotYet
60.0,8.0,0.4,6.2,8.4,200,NotYet
60.0,8.0,0.6,6.2,8.4,200,NotYet
60.0,8.0,0.8,6.2,8.4,200,NotYet
60.0,8.0,1.0,6.2,8.4,200,NotYet
60.0,10.0,-1.0,6.2,8.5,200,NotYet
60.0,10.0,-0.8,6.2,8.5,200,NotYet
60.0,10.0,-0.6,6.2,8.5,200,NotYet
60.0,10.0,-0.4,6.2,8.6,200,NotYet
60.0,10.0,-0.2,6.2,8.6,200,NotYet
60.0,10.0,0.0,6.2,8.6,200,NotYet
60.0,10.0,0.2,6.2,8.6,200,NotYet
60.0,10.0,0.4,6.2,8.6,200,NotYet
60.0,10.0,0.6,6.2,8.6,200,NotYet
60.0,10.0,0.8,6.2,8.6,200,NotYet
60.0,10.0,1.0,6.2,8.5,200,NotYet
