theta,A2,phi,a,b,z,status
60.0,-14.0,10.0,6.0,8.0,-2.8,NotYet
60.0,-14.0,10.0,6.0,8.0,-2.8,NotYet
60.0,-14.0,20.0,6.0,8.0,-2.8,NotYet
60.0,-14.0,20.0,6.0,8.0,-2.8,NotYet
60.0,-14.0,30.0,6.0,8.0,-2.8,NotYet
60.0,-14.0,30.0,6.0,8.0,-2.8,NotYet
60.0,-14.0,40.0,6.0,8.0,-2.8,NotYet
60.0,-14.0,40.0,6.0,8.0,-2.8,NotYet
60.0,-14.0,50.0,6.0,8.0,-2.8,NotYet
60.0,-14.0,50.0,6.0,8.0,-2.8,NotYet
60.0,-14.0,60.0,6.0,8.0,-2.8,NotYet
60.0,-14.0,60.0,6.0,8.0,-2.8,NotYet
60.0,-12.0,0.0,6.0,8.0,-2.8,NotYet
60.0,-12.0,0.0,6.0,8.0,-2.8,NotYet
60.0,-12.0,10.0,6.0,8.0,-2.8,NotYet
60.0,-12.0,10.0,6.0,8.0,-2.8,NotYet
60.0,-12.0,20.0,6.0,8.0,-2.8,NotYet
60.0,-12.0,20.0,6.0,8.0,-2.8,NotYet
60.0,-12.0,30.0,6.0,8.0,-2.8,NotYet
60.0,-12.0,30.0,6.0,8.0,-2.8,NotYet
60.0,-12.0,40.0,6.0,8.0,-2.8,NotYet
60.0,-12.0,40.0,6.0,8.0,-2.8,NotYet
60.0,-12.0,50.0,6.0,8.0,-2.8,NotYet
60.0,-12.0,50.0,6.0,8.0,-2.8,NotYet
60.0,-12.0,60.0,6.0,8.0,-2.8,NotYet
60.0,-12.0,60.0,6.0,8.0,-2.8,NotYet
60.0,-20.0,60.0,6.0,8.0,-2.6,NotYet
60.0,-20.0,60.0,6.0,8.0,-2.6,NotYet
60.0,-18.0,50.0,6.0,8.0,-2.6,NotYet
60.0,-18.0,50.0,6.0,8.0,-2.6,NotYet
60.0,-18.0,60.0,6.0,8.0,-2.6,NotYet
60.0,-18.0,60.0,6.0,8.0,-2.6,NotYet
60.0,-16.0,40.0,6.0,8.0,-2.6,NotYet
60.0,-16.0,40.0,6.0,8.0,-2.6,NotYet
60.0,-16.0,50.0,6.0,8.0,-2.6,NotYet
60.0,-16.0,50.0,6.0,8.0,-2.6,NotYet
60.0,-16.0,60.0,6.0,8.0,-2.6,NotYet
60.0,-16.0,60.0,6.0,8.0,-2.6,NotYet
60.0,-14.0,0.0,6.0,8.0,-2.6,NotYet
60.0,-14.0,0.0,6.0,8.0,-2.6,NotYet
60.0,-14.0,10.0,6.0,8.0,-2.6,NotYet
60.0,-14.0,10.0,6.0,8.0,-2.6,NotYet
60.0,-14.0,20.0,6.0,8.0,-2.6,NotYet
60.0,-14.0,20.0,6.0,8.0,-2.6,NotYet
60.0,-14.0,30.0,6.0,8.0,-2.6,NotYet
60.0,-14.0,30.0,6.0,8.0,-2.6,NotYet
60.0,-14.0,40.0,6.0,8.0,-2.6,NotYet
60.0,-14.0,40.0,6.0,8.0,-2.6,NotYet
60.0,-14.0,50.0,6.0,8.0,-2.6,NotYet
60.0,-14.0,50.0,6.0,8.0,-2.6,NotYet
60.0,-14.0,60.0,6.0,8.0,-2.6,NotYet
60.0,-14.0,60.0,6.0,8.0,-2.6,NotYet
60.0,-12.0,0.0,6.0,8.0,-2.6,NotYet
60.0,-12.0,0.0,6.0,8.0,-2.6,NotYet
60.0,-12.0,10.0,6.0,8.0,-2.6,NotYet
60.0,-12.0,10.0,6.0,8.0,-2.6,NotYet
60.0,-12.0,20.0,6.0,8.0,-2.6,NotYet
60.0,-12.0,20.0,6.0,8.0,-2.6,NotYet
60.0,-12.0,30.0,6.0,8.0,-2.6,NotYet
60.0,-12.0,30.0,6.0,8.0,-2.6,NotYet
60.0,-12.0,40.0,6.0,8.0,-2.6,NotYet
60.0,-12.0,40.0,6.0,8.0,-2.6,NotYet
60.0,-12.0,50.0,6.0,8.0,-2.6,NotYet
60.0,-12.0,50.0,6.0,8.0,-2.6,NotYet
60.0,-12.0,60.0,6.0,8.0,-2.6,NotYet
60.0,-12.0,60.0,6.0,8.0,-2.6,NotYet
60.0,-18.0,50.0,6.0,8.0,-2.4,NotYet
60.0,-18.0,50.0,6.0,8.0,-2.4,NotYet
60.0,-18.0,60.0,6.0,8.0,-2.4,NotYet
60.0,-18.0,60.0,6.0,8.0,-2.4,NotYet
60.0,-16.0,50.0,6.0,8.0,-2.4,NotYet
60.0,-16.0,50.0,6.0,8.0,-2.4,NotYet
60.0,-16.0,60.0,6.0,8.0,-2.4,NotYet
60.0,-16.0,60.0,6.0,8.0,-2.4,NotYet
60.0,-14.0,30.0,6.0,8.0,-2.4,NotYet
60.0,-14.0,30.0,6.0,8.0,-2.4,NotYet
60.0,-14.0,40.0,6.0,8.0,-2.4,NotYet
60.0,-14.0,40.0,6.0,8.0,-2.4,NotYet
60.0,-14.0,50.0,6.0,8.0,-2.4,NotYet
60.0,-14.0,50.0,6.0,8.0,-2.4,NotYet
60.0,-14.0,60.0,6.0,8.0,-2.4,NotYet
60.0,-14.0,60.0,6.0,8.0,-2.4,NotYet
60.0,-12.0,0.0,6.0,8.0,-2.4,NotYet
60.0,-12.0,0.0,6.0,8.0,-2.4,NotYet
60.0,-12.0,10.0,6.0,8.0,-2.4,NotYet
60.0,-12.0,10.0,6.0,8.0,-2.4,NotYet
60.0,-12.0,20.0,6.0,8.0,-2.4,NotYet
60.0,-12.0,20.0,6.0,8.0,-2.4,NotYet
60.0,-12.0,30.0,6.0,8.0,-2.4,NotYet
60.0,-12.0,30.0,6.0,8.0,-2.4,NotYet
60.0,-12.0,40.0,6.0,8.0,-2.4,NotYet
60.0,-12.0,40.0,6.0,8.0,-2.4,NotYet
60.0,-12.0,50.0,6.0,8.0,-2.4,NotYet
60.0,-12.0,50.0,6.0,8.0,-2.4,NotYet
60.0,-18.0,60.0,6.0,8.0,-2.2,NotYet
60.0,-18.0,60.0,6.0,8.0,-2.2,NotYet
60.0,-16.0,50.0,6.0,8.0,-2.2,NotYet
60.0,-16.0,50.0,6.0,8.0,-2.2,NotYet
60.0,-16.0,60.0,6.0,8.0,-2.2,NotYet
60.0,-16.0,60.0,6.0,8.0,-2.2,NotYet
60.0,-12.0,0.0,6.0,8.0,-2.2,NotYet
60.0,-12.0,0.0,6.0,8.0,-2.2,NotYet
60.0,-12.0,10.0,6.0,8.0,-2.2,NotYet
